浴[あ]びる,
危[あぶ]ない,
あちら,
上[あ]げる,
間[あいだ],
挨拶[あいさつ],
相手[あいて],
味[あじ],
赤[あか]ちゃん,
赤[あか]い,
明[あか]るい,
開[あ]ける,
秋[あき],
開[あ]く,
甘[あま]い,
あまり,
雨[あめ],
あなた,
姉[あね],
兄[あに],
あの,
安全[あんぜん],
青[あお]い,
洗[あら]う,
あれ,
ありがとうございます,
ある,
アルバイト,
朝[あさ],
朝[あさ]ご飯[はん],
明後日[あさって],
足[あし],
明日[あした],
遊[あそ]ぶ,
あそこ,
頭[あたま],
新[あたら]しい,
暖[あたた]かい,
暑[あつ]い,
熱[あつ]い,
会[あ]う,
晩[ばん],
番[ばん],
バナナ,
番号[ばんごう],
番組[ばんぐみ],
場所[ばしょ],
バス,
ベッド,
便利[べんり],
ボタン,
文[ぶん],
文化[ぶんか],
文法[ぶんぽう],
豚[ぶた],
豚肉[ぶたにく],
病院[びょういん],
病気[びょうき],
茶色[ちゃいろい]い,
茶碗[ちゃわん],
父[ちち],
違[ちが]い,
違[ちが]う,
小[ちい]さい,
近[ちか]い,
近[ちか]く,
力[ちから],
地下鉄[ちかてつ],
地図[ちず],
ちょっと,
ちょっと待[ま]ってください,
注意[ちゅうい],
台[だい],
台所[だいどころ],
大学[だいがく],
大丈夫[だいじょうぶ],
大体[だいたい],
だから,
だけ,
だんだん,
誰[だれ],
出[だ]す,
で,
出口[でぐち],
出[で]かける,
出来[でき]る,
でも,
電池[でんち],
電気[でんき],
電[でん]車[しゃ],
電子[でんしレンジ]レンジ,
電話[でんわ],
電話番号[でんわばんごう],
電話[でんわ]する,
デパート,
ドア,
どんな,
どの,
どれ,
どう,
動物[どうぶつ],
動物園[どうぶつえん],
どうも,
どうぞ,
土曜日[どようび],
絵[え],
へ,
エアコン,
映画館[えいがかん],
英[えい]語[ご],
駅[えき],
円[えん],
鉛筆[えんぴつ],
選[えら]ぶ,
エレベーター,
不便[ふべん],
吹[ふ]く,
服[ふく],
船[ふね],
降[ふ]る,
古[ふる]い,
不思議[ふしぎ],
二人[ふたり],
二[ふた]つ,
太[ふと]い,
布団[ふとん],
太[ふと]る,
普通[ふつう],
封筒[ふうとう],
冬[ふゆ],
が,
外国[がいこく],
外国人[がいこくじん],
学校[がっこう],
学生[がくせい],
玄関[げんかん],
元気[げんき],
月[げつ]曜日[ようび],
銀行[ぎんこう],
ギター,
午後[ごご],
ご飯[はん],
ごめんなさい,
五人[ごにん],
ごろ,
ご主人[しゅじん],
午前[ごぜん],
ぐらい,
牛肉[ぎゅうにく],
牛乳[ぎゅうにゅう],
歯[は],
葉書[はがき],
母[はは],
杯[はい],
入[はい]る,
始[はじ]まる,
はじめまして,
初[はじ]めて,
箱[はこ],
半[はん],
花[はな],
鼻[はな],
話[はなし],
話[はな]す,
半[はん]分[ぶん],
ハンカチ,
反対[はんたい],
払[はら]う,
晴[は]れる,
春[はる],
橋[はし],
箸[はし],
走[はし]る,
働[はたら]く,
発音[はつおん],
速[はや]い,
早[はや]い,
林[はやし],
恥[は]ずかしい,
返事[へんじ],
下手[したて],
部屋[へや],
日[ひ],
左[ひだり],
光[ひかり],
匹[ひき],
引[ひ]き出[だ]し,
飛行機[ひこうき],
弾[ひ]く,
引[ひ]く,
低[ひく]い,
暇[ひま],
広[ひろ]い,
昼[ひる],
昼[ひる]ご飯[はん],
久[ひさ]しぶり,
人[ひと],
一人[ひとり],
一[ひと]つ,
必要[ひつよう],
本[ほん],
本当[ほんとう]に,
星[ほし],
欲[ほ]しい,
細[ほそ]い,
ホテル,
百[ひゃく],
一番[いちばん],
家[いえ],
良[よい]い,
以上[いじょう],
以下[いか],
池[いけ],
意見[いけん],
行[い]く,
いくら,
いくつ,
今[いま],
意味[いみ],
妹[いもうと],
犬[いぬ],
入[い]れる,
入口[いりぐち],
色[いろ],
色々[いろいろ],
要[い]る,
いる,
医者[いしゃ],
石[いし],
忙[いそが]しい,
急[いそ]ぐ,
一緒[いっしょに]に,
椅子[いす],
いただきます,
痛[いたい]い,
いつ,
いつも,
五[い]つ,
いってきます,
いってらっしゃい,
字[じ],
自分[じぶん],
時間[じかん],
事故[じこ],
事務所[じむしょ],
神社[じんじゃ],
地震[じしん],
辞書[じしょ],
自転車[じてんしゃ],
丈夫[じょうぶ],
上手[じょうず],
授業[じゅぎょう],
準備[じゅんび],
住所[じゅうしょ],
ジュース,
かばん,
壁[かべ],
角[かど],
帰[かえ]る,
返[かえ]す,
鏡[かがみ],
鍵[かぎ],
階[かい],
階段[かいだん],
買[か]い物[もの],
買[か]い物[もの]する,
会社[かいしゃ],
会社員[かいしゃいん],
会[かい]話[わ],
火事[かじ],
かかる,
掛[か]ける,
書[か]く,
カメラ,
髪[かみ],
悲[かな]しい,
漢字[かんじ],
関係[かんけい],
彼女[かのじょ],
簡単[かんたん],
顔[かお],
から,
体[からだ],
辛[から]い,
彼[かれ],
カレー,
彼[かれ]ら,
借[か]りる,
軽[かる]い,
傘[かさ],
貸[か]す,
方[かた],
形[かたち],
硬[かた]い,
買[か]う,
川[かわ],
代[か]わりに,
変[か]わる,
火[か]曜[よう]日[び],
風[かぜ],
風邪[かぜ],
家族[かぞく],
けど,
ケーキ,
経験[けいけん],
結果[けっか],
結婚[けっこん]する,
今朝[けさ],
消[け]しゴム,
消[け]す,
木[き],
消[き]える,
黄色[きいろい]い,
聞[き]こえる,
聞[き]く,
気持[きもち]ち,
昨日[きのう],
金[きん]曜[よう]日[び],
切符[きっぷ],
嫌[きら]い,
きれい,
着[き]る,
切[き]る,
喫茶店[きっさてん],
汚[きたな]い,
切手[きって],
こちら,
子供[こども],
声[こえ],
ここ,
九[ここの]つ,
心[こころ],
黒板[こくばん],
困[こま]る,
込[こ]む,
今晩[こんばん],
こんばんは,
今度[こんど],
今月[こんげつ],
こんにちは,
この,
今週[こんしゅう],
コーヒー,
コート,
これ,
転[ころ]ぶ,
答[こた]え,
答[こた]える,
言葉[ことば],
今年[ことし],
交番[こうばん],
公園[こうえん],
交差点[こうさてん],
怖[こわ]い,
壊[こわ]れる,
口[くち],
果物[くだもの],
雲[くも],
曇[くも]る,
国[くに],
暗[くら]い,
くれる,
黒[くろ]い,
来[く]る,
車[くるま],
薬[くすり],
靴[くつ],
靴下[くつした],
空港[くうこう],
去年[きょねん],
今日[きょう],
兄[きょう]弟[だい],
教科書[きょうかしょ],
教室[きょうしつ],
給料[きゅうりょう],
町[まち],
まだ,
まで,
窓[まど],
窓口[まどぐち],
前[まえ],
曲[ま]がる,
枚[まい],
毎朝[まいあさ],
毎晩[まいばん],
毎日[まいにち],
毎週[まいしゅう],
毎年[まいとし],
毎月[まいつき],
万[まん],
間[ま]に合[あ]う,
真[ま]ん中[なか],
丸[まる]い,
まっすぐ,
また,
待[ま]つ,
周[まわ]り,
まずい,
目[め],
眼鏡[めがね],
珍[めずら]しい,
道[みち],
見[み]える,
磨[みが]く,
右[みぎ],
短[みじか]い,
みかん,
耳[みみ],
皆[みな]さん,
みんな,
見[み]る,
店[みせ],
見[み]せる,
味噌汁[みそしる],
三[みっ]つ,
水[みず],
も,
目[も]的[くてき],
木曜日[もくようび],
門[もん],
問題[もんだい],
物[もの],
もらう,
森[もり],
持[も]つ,
もっと,
もう,
もう一度[もういちど],
昔[むかし],
向[む]こう,
虫[むし],
息子[むすこ],
娘[むすめ],
六[むっ]つ,
難[むずか]しい,
など,
長[なが]い,
ナイフ,
鳴[な]く,
泣[な]く,
無[な]くす,
名前[なまえ],
七[なな]つ,
何[なに],
直[なお]す,
並[なら]べる,
並[なら]ぶ,
習[なら]う,
なる,
夏[なつ],
夏休[なつやすみ]み,
ね,
猫[ねこ],
ネクタイ,
寝[ね]る,
に,
日曜日[にちようび],
苦[にが]い,
賑[にぎ]やか,
日本[にほん],
日本語[にほんご],
肉[にく],
荷物[にもつ],
匂[にお]い,
庭[にわ],
の,
登[のぼ]る,
飲[の]み物[もの],
飲[の]む,
ノート,
脱[ぬ]ぐ,
ニュース,
おばあさん,
おばさん,
お弁当[べんとう],
覚[おぼ]える,
お茶[ちゃ],
お花見[おはなみ],
おはようございます,
美味[おい]しい,
おじいさん,
おじさん,
お母[かあ]さん,
おかえりなさい,
お菓子[おかし],
起[お]きる,
怒[おこ]る,
置[お]く,
遅[おく]れる,
送[おく]る,
奥[おく]さん,
お祭[まつ]り,
お土産[おみやげ],
面白[おもしろ]い,
思[おも]う,
お腹[なか],
お姉[ねえ]さん,
お願[ねが]いします,
音楽[おんがく],
お兄[にい]さん,
女[おんな]の人[ひと],
女[おんな]の子[こ],
多[おお]い,
大[おお]きい,
降[お]りる,
お酒[さけ],
教[おし]える,
押[おし]入[い]れ,
お正月[おしょうがつ],
遅[おそ]い,
押[お]す,
お手[て]洗[あら]い,
音[おと],
男[おとこ]の人[ひと],
男[おとこ]の子[こ],
大人[おとな],
一昨日[おととい],
お父[とう]さん,
弟[おとうと],
終[お]わる,
おやすみなさい,
お湯[ゆ],
パン,
ペン,
ピアノ,
プレゼント,
ラーメン,
来年[らいねん],
来週[らいしゅう],
ラジオ,
冷蔵庫[れいぞうこ],
連絡[れんらく],
練習[れんしゅう],
練習[れんしゅう]する,
レストラン,
立派[りっぱ],
理[り]由[ゆう],
旅[りょ]行[こう],
旅[りょ]行[こう]する,
料理[りょうり],
料理[りょうり]する,
両親[りょうしん],
留学生[りゅうがくせい],
寂[さび]しい,
財布[さいふ],
最後[さいご],
最[さい]近[きん],
最初[さいしょ],
魚[さかな],
サッカー,
作文[さくぶん],
寒[さむ]い,
サンドイッチ,
散歩[さんぽ],
散歩[さんぽ]する,
皿[さら],
砂糖[さとう],
冊[さつ],
触[さわ]る,
さようなら,
背[せ],
セーター,
世[せ]界[かい],
席[せき],
石鹸[せっけん],
狭[せま]い,
千[せん],
先月[せんげつ],
先生[せんせい],
先週[せんしゅう],
洗濯[せんたく]する,
洗濯機[せんたくき],
説明[せつめい],
社会[しゃかい],
写真[しゃしん],
シャツ,
仕事[しごと],
しか,
しかし,
試[し]験[けん],
島[しま],
閉[し]まる,
閉[し]める,
新[しん]聞[ぶん],
信号[しんごう],
親切[しんせつ],
死[し]ぬ,
塩[しお],
白[しろ]い,
知[し]る,
下[した],
質問[しつもん]する,
静[しず]か,
食[しょく]堂[どう],
紹介[しょうかい],
将来[しょうらい],
醤油[しょうゆ],
主[しゅ]人[じん],
宿題[しゅくだい],
趣味[しゅみ],
週[しゅう],
側[そば],
そば,
祖母[そぼ],
そちら,
祖父[そふ],
そこ,
速度[そくど],
その,
空[そら],
それ,
それでは,
それから,
そろそろ,
そして,
外[そと],
掃除[そうじ]する,
掃除機[そうじき],
すぐ,
水[すい]曜[よう]日[び],
スカート,
少[すこ]し,
空[す]く,
少[すく]ない,
すみません,
住[す]む,
スポーツ,
スプーン,
寿司[すし],
スーパー,
涼[すず]しい,
食[た]べ物[もの],
食[た]べる,
たぶん,
ただいま,
正[ただ]しい,
大変[たいへん],
大切[たいせつ],
大使館[たいしかん],
太陽[たいよう],
高[たか]い,
たくさん,
タクシー,
棚[たな],
誕[たん]生[じょう]日[び],
頼[たの]む,
楽[たの]しい,
タオル,
畳[たたみ],
建物[たてもの],
立[た]つ,
手[て],
手袋[てぶくろ],
テーブル,
天井[てんじょう],
天[てん]気[き],
天気予報[てんきよほう],
天[てん]ぷら,
寺[てら],
テレビ,
と,
飛[と]ぶ,
届[とど]ける,
届[とど]く,
トイレ,
時々[ときどき],
特[とく]に,
特別[とくべつ],
止[と]まる,
泊[と]まる,
友[とも]達[だち],
隣[となり],
十[とお],
遠[とお]い,
遠[とお]く,
鳥[とり],
鶏肉[とりにく],
撮[と]る,
取[と]る,
年[とし],
図書館[としょかん],
とても,
疲[つか]れる,
使[つか]う,
付[つ]ける,
月[つき],
着[つ]く,
机[つくえ],
作[つく]る,
つまらない,
冷[つめ]たい,
強[つよ]い,
うどん,
上[うえ],
馬[うま],
生[う]まれる,
海[うみ],
嬉[うれ]しい,
売[う]る,
牛[うし],
後[うし]ろ,
歌[うた],
歌[うたう]う,
上着[うわぎ],
は,
若[わか]い,
分[わ]かる,
笑[わら]う,
悪[わる]い,
忘[わす]れる,
渡[わた]る,
私[わたし],
渡[わた]す,
や,
約[やく],
役[やく]に立[た]つ,
約束[やくそく],
山[やま],
屋根[やね],
やる,
野菜[やさい],
易[やさ]しい,
優[やさ]しい,
安[やす]い,
休[やす]み,
休[やす]む,
八[やっ]つ,
柔[やわ]らかい,
よ,
呼[よ]ぶ,
横[よこ],
よく,
読[よ]む,
四人[よにん],
喜[よろこ]ぶ,
よろしくおねがいします,
予定[よてい],
四[よっ]つ,
用事[ようじ],
弱[よわ]い,
指[ゆび],
床[ゆか],
雪[ゆき],
ゆっくり,
夢[ゆめ],
郵便局[ゆうびんきょく],
有名[ゆうめい],
残念[ざんねん],
雑誌[ざっし],
全部[ぜんぶ],
ぜんぜん,
ズボン